sepal_width,petal_width,sepal_length,petal_length
0.625,0.041666667,0.222222222,0.06779661
0.416666667,0.041666667,0.166666667,0.06779661
0.5,0.041666667,0.111111111,0.050847458
0.458333333,0.041666667,0.083333333,0.084745763
0.666666667,0.041666667,0.194444444,0.06779661
0.791666667,0.125,0.305555556,0.118644068
0.583333333,0.083333333,0.083333333,0.06779661
0.583333333,0.041666667,0.194444444,0.084745763
0.375,0.041666667,0.027777778,0.06779661
0.458333333,0,0.166666667,0.084745763
0.708333333,0.041666667,0.305555556,0.084745763
0.583333333,0.041666667,0.138888889,0.101694915
0.416666667,0,0.138888889,0.06779661
0.416666667,0,0,0.016949153
0.833333333,0.041666667,0.416666667,0.033898305
1,0.125,0.388888889,0.084745763
0.791666667,0.125,0.305555556,0.050847458
0.625,0.083333333,0.222222222,0.06779661
0.75,0.083333333,0.388888889,0.118644068
0.75,0.083333333,0.222222222,0.084745763
0.583333333,0.041666667,0.305555556,0.118644068
0.708333333,0.125,0.222222222,0.084745763
0.666666667,0.041666667,0.083333333,0
0.541666667,0.166666667,0.222222222,0.118644068
0.583333333,0.041666667,0.138888889,0.152542373
0.416666667,0.041666667,0.194444444,0.101694915
0.583333333,0.125,0.194444444,0.101694915
0.625,0.041666667,0.25,0.084745763
0.583333333,0.041666667,0.25,0.06779661
0.5,0.041666667,0.111111111,0.101694915
0.5,0.541666667,0.75,0.627118644
0.5,0.583333333,0.583333333,0.593220339
0.458333333,0.583333333,0.722222222,0.661016949
0.125,0.5,0.333333333,0.508474576
0.333333333,0.583333333,0.611111111,0.610169492
0.333333333,0.5,0.388888889,0.593220339
0.541666667,0.625,0.555555556,0.627118644
0.166666667,0.375,0.166666667,0.389830508
0.375,0.5,0.638888889,0.610169492
0.291666667,0.541666667,0.25,0.491525424
0,0.375,0.194444444,0.423728814
0.416666667,0.583333333,0.444444444,0.542372881
0.083333333,0.375,0.472222222,0.508474576
0.375,0.541666667,0.5,0.627118644
0.375,0.5,0.361111111,0.440677966
0.458333333,0.541666667,0.666666667,0.576271186
0.416666667,0.583333333,0.361111111,0.593220339
0.291666667,0.375,0.416666667,0.525423729
0.083333333,0.583333333,0.527777778,0.593220339
0.208333333,0.416666667,0.361111111,0.491525424
0.5,0.708333333,0.444444444,0.644067797
0.333333333,0.5,0.5,0.508474576
0.208333333,0.583333333,0.555555556,0.661016949
0.333333333,0.458333333,0.5,0.627118644
0.375,0.5,0.583333333,0.559322034
0.416666667,0.541666667,0.638888889,0.576271186
0.333333333,0.541666667,0.694444444,0.644067797
0.416666667,0.666666667,0.666666667,0.677966102
0.375,0.583333333,0.472222222,0.593220339
0.25,0.375,0.388888889,0.423728814
0.541666667,1,0.555555556,0.847457627
0.291666667,0.75,0.416666667,0.694915254
0.416666667,0.833333333,0.777777778,0.830508475
0.375,0.708333333,0.555555556,0.779661017
0.416666667,0.875,0.611111111,0.813559322
0.416666667,0.833333333,0.916666667,0.949152542
0.208333333,0.666666667,0.166666667,0.593220339
0.375,0.708333333,0.833333333,0.898305085
0.208333333,0.708333333,0.666666667,0.813559322
0.666666667,1,0.805555556,0.86440678
0.5,0.791666667,0.611111111,0.694915254
0.291666667,0.75,0.583333333,0.728813559
0.416666667,0.833333333,0.694444444,0.762711864
0.208333333,0.791666667,0.388888889,0.677966102
0.333333333,0.958333333,0.416666667,0.694915254
0.5,0.916666667,0.583333333,0.728813559
0.416666667,0.708333333,0.611111111,0.762711864
0.75,0.875,0.944444444,0.966101695
0.25,0.916666667,0.944444444,1
0.083333333,0.583333333,0.472222222,0.677966102
0.5,0.916666667,0.722222222,0.796610169
0.333333333,0.791666667,0.361111111,0.661016949
0.333333333,0.791666667,0.944444444,0.966101695
0.291666667,0.708333333,0.555555556,0.661016949
0.541666667,0.833333333,0.666666667,0.796610169
0.5,0.708333333,0.805555556,0.847457627
0.333333333,0.708333333,0.527777778,0.644067797
0.416666667,0.708333333,0.5,0.661016949
0.333333333,0.833333333,0.583333333,0.779661017
0.416666667,0.625,0.805555556,0.813559322
